계정,연도,상품번호,판매자코드,ROAS%,광고비,광고전환매출,클릭
rejoice666,2025,2645130362,W8D6D32,526,10604,55750,42
rejoice666,2025,2645195503,WA9755D,7010,792,55520,3
rejoice666,2025,2645232429,W9BE8AF,5399,9526,514340,25
rejoice666,2025,2711609615,W8FF517,301,27005,81210,32
rejoice666,2025,2711627528,W8FF516,5921,1155,68390,3
rejoice666,2025,2711727808,W97462C,708,7007,49590,17
rejoice666,2025,2711733946,W8FF51E,16957,484,82070,2
rejoice666,2025,2711756151,W89DAD2,3059,1452,44420,6
rejoice666,2025,2711768166,W165DA9,2702,8195,221440,17
rejoice666,2025,2711774433,W8FF513,1248,25300,315620,29
rejoice666,2025,2711775943,W520A40,2521,1452,36610,2
rejoice666,2025,2711809035,WA88914,5469,3245,177470,7
rejoice666,2025,2711810519,W7EA482,4299,5445,234100,13
rejoice666,2025,2771544872,W8E9A33,1695,22132,375050,45
rejoice666,2025,2771548961,W6D4733,2504,5731,143510,10
rejoice666,2025,2771550351,W989D68,12450,462,57520,1
rejoice666,2025,2771559225,W89DBF3,651,12980,84480,22
rejoice666,2025,2771573008,W526B77,747,10098,75480,11
rejoice666,2025,2771575700,WAC0DBA,2594,7084,183740,9
rejoice666,2025,2771579802,W475610,4125,3289,135680,6
rejoice666,2025,2771584315,W89DAD5,3066,3465,106230,7
rejoice666,2025,2771585713,W4CE726,492,20559,101150,43
rejoice666,2025,2771588791,W1F0A80,5693,1936,110220,3
rejoice666,2025,2771589170,W8DBA6E,3135,1298,40690,3
rejoice666,2025,2771591310,W9E9E53,2239,18403,412010,21
rejoice666,2025,2771596664,W4A8B5C,1479,3201,47330,6
rejoice666,2025,2773069202,WA4D4B1,3949,7623,301060,21
rejoice666,2025,2773072667,W5748D2,7139,3949,281900,19
rejoice666,2025,2773076259,W89DBFD,11670,539,62900,2
rejoice666,2025,2773077994,W10BAFF,933,17809,166080,25
rejoice666,2025,2773082607,W5CB5F3,1265,9625,121800,23
rejoice666,2025,2773090127,W02487F,7033,825,58020,1
rejoice666,2025,2773090735,WA128BE,1480,3201,47370,9
rejoice666,2025,2786148281,W1C0E1F,6240,880,54910,2
rejoice666,2025,2786150323,W1A3057,39891,110,43880,1
rejoice666,2025,2786152076,W90A9B9,20927,396,82870,4
rejoice666,2025,2786153378,W79D3B7,25061,737,184700,5
rejoice666,2025,2786158113,W55E41F,12155,4433,538840,16
rejoice666,2025,2786158600,W9510FC,21285,330,70240,1
rejoice666,2025,2786166420,W0789BA,21597,1991,430000,3
rejoice666,2025,2786172609,W6BD204,49882,220,109740,2
rejoice666,2025,2786175918,W2B74AA,9174,495,45410,1
rejoice666,2025,2786180629,W667B67,15766,3102,489050,8
rejoice666,2025,2786181310,W8002D3,262,19514,51040,31
rejoice666,2025,2786185633,W630178,246,23496,57900,34
rejoice666,2025,2786186979,W7664CD,587,10780,63330,12
rejoice666,2025,2786192012,W48EA55,20242,4609,932960,7
rejoice666,2025,2786192358,W127DE2,4479,3531,158160,8
rejoice666,2025,2786192439,W14EEBB,45300,220,99660,2
rejoice666,2025,2786211368,W76736C,3824,1210,46270,3
rejoice666,2025,2929067802,WB6C1AE,12039,2618,315180,7
rejoice666,2025,3064808651,,685,4378,30000,10
rejoice666,2025,3064813778,WB85A32,3512,836,29360,2
rejoice666,2025,3064821208,,26346,231,60860,2
rejoice666,2025,3064853144,WC62DC6,11203,572,64080,1
rejoice666,2025,3064855935,W744B96,245,13827,33830,17
rejoice666,2025,3064856585,,680,7403,50320,14
rejoice666,2025,3064871848,WC0B3C3,1198,3520,42160,6
rejoice666,2025,3116496740,W1ADDB7,585,8327,48710,19
rejoice666,2025,3116501150,WAC8A5E,3209,2684,86130,6
rejoice666,2025,3116501472,W98F5A4,1120,6479,72580,16
rejoice666,2025,3116506739,WBD0741,2743,4763,130650,7
rejoice666,2025,3116516181,WA88532,1021,7326,74780,8
