상품번호,계정,판매자코드,상품명,광고비,전환매출,ROAS%,클릭
4193119378,rejoice794,LCE_MX_L4937640_00,뽀로로 워터젤리 120ml 오렌지 복숭아 각 10개 총,6600,175640,2661.2,7
2786152076,rejoice666,W90A9B9,영진 안전대 추락 방지 안전벨트 산업 안전그네 고리 현,1045,165740,15860.3,1
4494697166,dlwodbs222,WEEC554,PLUS 젤스톤 화이트 굵은입자 거친 돌가루 백드롭 0,1694,134520,7941.0,2
4165120702,rejoice999,W89DAE6,신일40D 무선 세라믹열판 파워스팀 다리미,2970,125440,4223.6,3
4496617680,dlwodb000,LCE_SX_L1617512_00,대원우드 보드콤 5T 60X90cm A세트(5색X3EA,308,115060,37357.1,2
4339606326,dlwodb000,LCE_MX_L3765431_01,(152p그린판3)듀플로호환(판3개 포함)구슬블럭152,737,112800,15305.3,1
4193087821,rejoice794,LCE_MX_L0887313,간편 부착식 발포 쿠션 모서리보호대 2M/모서리/가드/,2365,98970,4184.8,3
4164318697,rejoice999,W71DF28,고양이사료 뉴 캐츠랑 어덜트 8kg,99,85530,86393.9,1
4171752727,rejoice234,LCE_MX_L3339367_00,마술모자세트/마술도구링/어린이마술/마술세트/마술매트/매,1078,80260,7445.3,1
4221132249,tmxkql111,LCE_SX_L9338358_00,두모금컵 4000매 생수컵 정수기컵 일회용컵 컵형물컵/,1276,80120,6279.0,1
4713931923,tmxkqlwus,WDM_WFFIDSJ,동물 망 접이식 철망 멧돼지 고양이 대형 트랩 식구 아,330,77160,23381.8,1
4060084505,dlwodbs222,인스탁스 2매,후지필름 인스탁스 미니필름 2팩 20매(40매)/min,16335,75000,459.1,7
4293533912,tmxkql222,LCE_SX_L6545375,유한양행 세정제 785ml 5묶음/먼지제거제/락스/세제,4499,67950,1510.3,5
4206261893,dlwodb888,WE592CE,부적카드세트(2개) 건행부적 행운부적 돈을부르는부적 솔,2145,66000,3076.9,5
4165056565,rejoice999,WD7772C,자석부착가능 붙이는 화이트보드 시트지,2134,63940,2996.3,2
4059993518,dlwodb111,W47ECDC,세방전지 로켓트배터리 ES2.0-12 12V2AH 무보,2376,62200,2617.8,4
4402791326,rejoice987,WAF2603,열대어 붕어 수초 수경식물 물고기 키우기 수조 어항,539,61480,11406.3,1
4422702993,rejoice234,LCE_MX_L7088235_00,멀티 공구 세트 정비 드라이버 펜치 줄자 망치 8013,2552,58520,2293.1,2
3513315636,rejoice678,W030F3F,가스렌지 ST001A 휴대용 야외식당 부르스타 가스버너,3267,56620,1733.1,3
4635708008,dlrmsgh012,LCE_MX_L0449326_00,잘풀리는집 화이트 두루마리휴지 3겹화장지 30롤/두루마,1023,55270,5402.7,1
4165035486,rejoice999,WA567DA,지퍼락 냉장용 지퍼백 대형160매,3234,54660,1690.2,3
4361102406,rejoice234,LCE_MX_L7563109_00,(캐스B)보드게임 코딩펭귄수영풀(1411)/점핑다람쥐/,759,53360,7030.3,1
