상품번호,계정,판매자코드,상품명,광고비,광고전환ROAS%,실매출,실ROAS%,클릭
4245234908,rejoice987,W9745EC,한일250 국산 셔터형 그릴 환풍기 설치30x30c,2035,0.0,1500784,73748.6,2
4402815682,dlwodb888,WC793D3,파인애플 여름 이불 SS 시어서커 시원한 침구 기숙,2167,71988.9,1356700,62607.3,4
4599821306,dlwodb111,W0385AA,도어클로져(미닫이문 슬라이딩)검정 택옵션 7세대,649,224191.1,1089830,167924.5,2
4369806848,dlwodbs222,WA322B4,다용도 주방화 방수화 작업화 미끄럼방지 식당 신발,2200,725.0,1082032,49183.3,4
4466634135,dlwoddbs55,LCE_SX_L9695379_03,(27인치(620x370)) BozaBoza Cli,1045,109610.5,1027190,98295.7,2
3692089393,rejoice567,WCCA31B,북카트 북선반 트롤리 책꽂이 책장 간이 책상정리선반,0,0,894463,0,0
4165207922,rejoice999,WCCA31B,북카트 북선반 트롤리,2805,0.0,894463,31888.2,5
4245233554,rejoice987,WCCA31B,국산 북카트 북선반 트롤리,0,0,894463,0,0
3000405536,rejoice222,W9E57B7,벨르 페레로 로쉐 꽃다발 핑크 초콜릿 사탕 선물 부,770,0.0,863323,112119.9,1
3421261352,rejoice987,W9E57B7,벨르 페레로 로쉐 꽃다발 핑크 초콜릿 사탕 선물 부,0,0,863323,0,0
4376387412,dlwodb888,W9E57B7,벨르 페레로로쉐 꽃다발 핑크 초콜릿 사탕 선물 부케,385,0.0,863323,224239.7,1
4626134339,rejoice222,W9E57B7,벨르 페레로로쉐 꽃다발 핑크 초콜릿 사탕 선물 부케,660,0.0,863323,130806.5,1
4174119441,rejoice321,LCE_MX_L4164765_00,마타도르 991A 종이 사포 페파 50장 2500방,99,0.0,798232,806294.9,1
3877423611,dlwodbs666,WB42CD3,화장품 냉장고 캠핑 휴대용 차량용 레트로 미니 4L,1386,0.0,696471,50250.4,3
4164966358,rejoice999,WB42CD3,화장품 냉장고 캠핑 휴대용 차량용 레트로 미니 4L,2365,13367.4,696471,29449.1,4
4365528740,rejoice567,WB42CD3,화장품 냉장고 캠핑 휴대용 차량용 레트로 미니 4L,330,0.0,696471,211051.8,1
4376366146,dlwodb888,WB42CD3,화장품 냉장고 캠핑 휴대용 차량용 레트로 미니 4L,1034,0.0,696471,67357.0,2
4613175686,rejoice666,WB42CD3,화장품 냉장고 캠핑 휴대용 차량용 레트로 미니 4L,649,0.0,696471,107314.5,1
4620543852,rejoice222,WB42CD3,화장품 냉장고 캠핑 휴대용 차량용 레트로 미니 4L,660,0.0,696471,105525.9,1
4174081489,rejoice321,LCE_SX_L2467086_00,멜로 머쉬멜로우 라운드 트위스트 135g(1박 12,0,0,665274,0,0
4661645759,rejoice321,LCE_SX_L2467086_00,멜로 머쉬멜로우 라운드 트위스트 135g(1박 12,0,0,665274,0,0
4626132484,rejoice222,WB7EAA8,로케트 차량용 배터리 GB100R 차량용배터리 자동,1683,0.0,651656,38719.9,5
4386155620,dlwodb000,LCE_SX_L1379489,실내 수영장에서 입기 좋은 남자 아동 수영복 (A-,1232,59091.7,627366,50922.6,3
4369081639,rejoice666,W9E4F25,(금호화학) 30L 플라스틱 다용도 보관함 공간박스,1760,39477.3,604976,34373.6,3
4369098566,dlwodb111,WFFQYHY,비즈 보석 큐빅스티커(36개) 스티커 큐빅 꾸미기 ,1045,0.0,601177,57528.9,2
4384922465,dlwodb888,WFFQYHY,비즈 보석 큐빅스티커(36개),539,0.0,601177,111535.6,1
4494689043,dlwodbs222,WFFQYHY,비즈 보석 큐빅스티커(36개),0,0,601177,0,0
3591273822,rejoice987,W4703ED,블록 쌓기 파이프 조립 완구 장난감 어린이집 교구 ,539,125519.5,591595,109757.9,1
4712999661,rejoice999,WFGJHC3,실리콘 사각 접시 디저트 플레이트 간식 다과 그릇,1595,41097.2,573283,35942.5,4
4422745134,tmxkql222,LCE_MX_L5265435_00,물비누디스펜서911/펌핑/다용도/소분/생활/용기/공,0,0,567480,0,0
3692518651,rejoice567,WA67903,봉비누 화장실 봉비누10개 공중화장실비누세트 AJB,550,29036.4,562487,102270.4,1
4060100284,dlwodb777,WA67903,봉비누 화장실 봉비누10개 공중화장실비누세트 AJB,330,0.0,562487,170450.6,1
4165161409,rejoice999,WA67903,봉비누 화장실 봉비누10개 공중화장실비누세트 AJB,2200,5468.2,562487,25567.6,2
4346033763,dlwodb999,LCE_SX_L0122168_03,((KF94키젠화이트5)x10) 키젠 새부리형 마스,1155,54163.6,556357,48169.4,2
4286022259,tmxkql222,LCE_MX_L3139570_00,첫 과학 시리즈) 점보 확대경 (LER2884)/과,2376,26294.6,540400,22744.1,2
4122081014,dlwodbs222,WBF14D2,폴리글러브 병원 일회용 위생 비닐장갑 200매x10,2420,0.0,535145,22113.4,4
4376355540,dlwodb888,WBF14D2,폴리글러브 병원 일회용 위생 비닐장갑 200매x10,1089,0.0,535145,49141.0,2
4620551525,dlwodb888,WBF14D2,폴리글러브 병원 일회용 위생 비닐장갑 200매x10,1254,21248.8,535145,42675.0,2
3692203227,rejoice567,WB75130,티크린 화장실 세제 변기세정제 대용량화장실청소세제 ,0,0,524481,0,0
4195504387,dlwodb888,WB75130,티크린 화장실 세제 변기세정제 대용량화장실청소세제 ,0,0,524481,0,0
4245234867,rejoice987,WB75130,티크린 화장실 세제 변기세정제 대용량화장실청소세제,792,0.0,524481,66222.3,1
4365520020,rejoice666,WB75130,티크린 화장실 세제 변기세정제 대용량화장실청소세제 ,0,0,524481,0,0
4144858461,rejoice678,W968C93,유한락스 욕실청소용 600ml+600ml 10개입 ,0,0,516050,0,0
4165070096,rejoice999,W968C93,유한락스 욕실청소용 600ml+600ml 10개입 ,660,0.0,516050,78189.4,1
4245234856,rejoice987,W968C93,유한락스 욕실청소용 600ml+600ml 10개입 ,0,0,516050,0,0
4357150201,dlwodb888,W968C93,유한락스 욕실청소용 600ml+600ml 10개입 ,495,0.0,516050,104252.5,1
4055743980,dlwodb111,W9C2A48,아두이노 터 키트 우노 R3 스마트 RC카 키트 세,319,0.0,511867,160459.9,1
4060122528,dlwodbs222,W9C2A48,아두이노 터 키트 우노 R3 스마트 RC카 키트 세,0,0,511867,0,0
4365516986,rejoice999,WD40DE3,전체식 벨트 공사장 안전띠 추락방지 안전벨트 안전 ,297,0.0,460965,155207.1,3
4376340056,dlwodb888,WD40DE3,코오롱 전체식 벨트 공사장 안전띠 추락방지 안전벨트,1078,48831.2,460965,42761.1,2
4365528103,dlwodbs222,WFF84CC,클래식 브릭 850피스 11038 코스트코,1320,0.0,452124,34251.8,4
4384911215,dlwodb888,WFF84CC,레고 클래식 브릭 850피스 11038,2761,0.0,452124,16375.4,6
4384913435,dlwodb888,WFF84CC,레고 클래식 브릭 850피스 11038,495,104266.7,452124,91338.2,1
4460790308,rejoice444,WFF84CC,레고 클래식 브릭 850피스 11038 장난감 클레,814,0.0,452124,55543.5,3
4612398026,rejoice666,WFF84CC,레고 클래식 브릭 850피스 11038,385,0.0,452124,117434.8,1
4620541695,rejoice222,WFF84CC,레고 클래식 브릭 850피스 11038,1991,0.0,452124,22708.4,5
2773082607,rejoice666,W5CB5F3,대변기 세척 밸브 양변기 물내림 부속품 스위치 커버,2508,5267.1,450278,17953.7,7
4060605790,rejoice678,W5CB5F3,대변기 세척밸브 양변기 물내림 밸브 부속품 스위치,0,0,450278,0,0
4164310643,rejoice999,W5CB5F3,대변기 세척밸브 양변기 물내림 밸브 부속품 스위치,0,0,450278,0,0
4365545421,rejoice666,W5CB5F3,대변기 세척밸브 양변기 물내림 밸브 부속품 스위치 ,638,0.0,450278,70576.5,1
4369124534,dlwodbs222,W5CB5F3,대변기 세척밸브 양변기 물내림 밸브 부속품 스위치 ,1078,0.0,450278,41769.8,2
4626137292,rejoice222,W5CB5F3,대변기 세척밸브 양변기 물내림 밸브 부속품 스위치 ,385,0.0,450278,116955.3,1
4185297139,dlrmsgh012,LCE_MX_L6302191_00,러브맘 거품비누핸드워시 레몬향 4L/버블/핸드/워시,1474,23907.7,436694,29626.5,1
4495984530,dlwodb777,LCE_SX_L6355120_00,홈앤미 사선컷팅 테이프클리너 대형 리필 2입/막대/,957,0.0,434780,45431.6,2
4315548902,rejoice911,LCE_MX_L5697523_00,무지 세로형 쇼핑백 10p세트(20x28cm) (화,1551,0.0,434152,27991.7,2
4422704707,dlwodb000,LCE_SX_L1771403_00,건조기 양모 건조볼 6P 정전기 드라이어볼/제거/세,550,90863.6,427775,77777.3,1
3512943621,rejoice678,WCE46C2,생리대 좋은느낌 생리대(중형) 18EAX2P,0,0,426100,0,0
4376343042,dlwodb888,WCE46C2,좋은느낌 유기농 생리대(중형) 18EAX2P,1309,35561.5,426100,32551.6,3
4496377528,dlwodb777,LCE_SX_L9028417_00,HDMI 익스텐더 4K 해상도 60M 거리연장기 (,869,53505.2,425812,49000.2,2
4164957495,rejoice999,W6CB210,의약외품 메디와이퍼 손소독티슈 80매 24개,2365,0.0,415203,17556.2,3
4328261015,rejoice567,W6CB210,외품 메디와이퍼 티슈 80매 24개 물티슈 손세정티,0,0,415203,0,0
4357146916,dlwodb888,W6CB210,(의약외품)메디와이퍼 손소독티슈 80매 24개,0,0,415203,0,0
4376362469,rejoice444,W6CB210,(의약외품)메디와이퍼 손소독티슈 80매 24개,1067,0.0,415203,38913.1,2
4357146727,dlwodb888,W6A63B1,쌍줄 8자마라톤줄넘기 4.2m 2개 1조 줄넘기대회,0,0,414455,0,0
4376363417,rejoice444,W6A63B1,쌍줄 8자마라톤줄넘기 4.2m 2개 1조 줄넘기대회,0,0,414455,0,0
4212420122,rejoice321,LCE_MX_L6475266,(VC) 접착식 충격완화 에어캡봉투 30X40cm ,0,0,414116,0,0
4059681664,rejoice444,WD9CC99,엘지 자동분사기 리필세트 꽃향 난초향 1+1,495,0.0,412140,83260.6,1
4253220134,rejoice222,WDA42B9,유아동 색채물감 에그톡 피카소 12칼라,770,44800.0,408229,53016.8,1
4376337611,dlwodb888,WDA42B9,유아동 색채물감 에그톡 피카소 12칼라,660,0.0,408229,61852.9,1
2786181320,rejoice666,W8D32C3,테팔 270 비보 스텐 레스 무선 전기 주전자 포트,0,0,406025,0,0
4365505503,dlwodb777,W8D32C3,테팔270 비보 스텐레스 무선 전기주전자 포트 전기,495,0.0,406025,82025.3,1
4376349700,rejoice444,W8D32C3,테팔270 비보 스텐레스 무선 전기주전자 포트,0,0,406025,0,0
4626504769,rejoice222,W8D32C3,테팔270 비보 스텐레스 무선 전기주전자 포트,374,0.0,406025,108562.8,1
4622636272,rejoice999,인스탁스 미니필름 2팩,인스탁스 미니 필름 40매(20매 2팩) /후지 필,1430,0.0,399412,27930.9,3
4401162536,rejoice321,LCE_MX_L7561258_00,기네시올로지 5.0cm x 5m 스포츠 테이프 테이,0,0,399057,0,0
4365513207,rejoice567,W526B77,105 싱크대 원홀 스프레이 수도세트 주방 씽크대 ,0,0,394755,0,0
4376384082,dlwodb888,WA14DCD,펜텔 에너겔 메탈포인트펜 리필 LR7 0.7mm 흑,583,0.0,390493,66979.9,1
3804227817,rejoice666,WC554E7,더블에이 복사지 A4 90g 500매x5권 2500,110,0.0,388119,352835.5,1
