상품번호,계정,판매자코드,상품명,광고비,전환매출,ROAS%,클릭
4365563225,dlwodbs222,WCCA31B,드리밍 북카트 북선반 도서관 트롤리 책꽂이 바퀴 책장 ,48664,0,0.0,25
4357144220,dlwodb888,W281445,솥뚜껑구이 무쇠 가마솥 고기불판 삼겹살 철판 구이,16313,0,0.0,28
4164322027,rejoice999,W15D726,T-BUC 아이스 쿨 반팔 작업복,13717,0,0.0,13
4386171398,tmxkql222,LCE_SX_L4685102_00,일신 방수 코팅제 550ml 고무계 부분방수 외벽 내벽,13585,0,0.0,14
4060209246,tmxkqlwus,WE8B91C,여름 듀라론 냉감 밴딩패드 Q 화이트 단품 침대패드,11924,0,0.0,15
4165128861,rejoice999,W973BEF,스텐 양식기 양식 포크 소 어린이집 아동 어린이 10개,9636,0,0.0,9
4402771471,rejoice999,WA38B90,키밍 사계절 반려동물 가슴줄 몸줄 산책줄 애견용품,8899,0,0.0,10
4171973850,rejoice234,LCE_MX_L0592973_00,7mm 이니셜 알파벳비즈/팔찌/발찌/목걸이/마스크스트랩,7161,0,0.0,8
4614616012,dlwodbs444,LCE_MX_L5396919_00,락앤락 신선보관용기 스마트킵프레쉬 3.2L 채반/밀폐용,6853,0,0.0,7
4614586865,dlwodbs444,LCE_MX_L0316079,욕실 샤워 가리개 커튼 봉 커텐 레일 압축봉 커튼링/샤,6534,0,0.0,7
4361155918,rejoice321,LCE_MX_L1299531,틈새수납장 틈새선반 베이직3단 4단/미니/카트/이동/수,6512,0,0.0,8
4361540270,tmxkql222,LCE_MX_L8181359_00,샤크 3부 남성 실내 수영복(L) (블랙)/비치바지/비,6171,0,0.0,10
4438180764,tmxkql111,LCE_MX_L6849247,책상 수납 정리대 인테리어 틈새 미니 선반 2단 3단/,5643,0,0.0,9
4175231385,rejoice321,LCE_MX_L4250322_01,(3리터)다용도 2가지 모드 고압 압축 분사기 3L/자,5434,0,0.0,5
2786213688,rejoice666,W95100F,미니 농구 골대 어린이 농구대 실내 스포츠 장난감 ,5357,0,0.0,5
4328271112,rejoice678,W3B88CF,사각프라이팬 대 계란말이 업소용 달걀 토스트 에그팬 후,5335,0,0.0,5
4166182267,rejoice999,W37C8E0,리빙FIXA함 드3단선반,5291,0,0.0,5
4188340451,dlrmsgh012,LCE_MX_L3843279_00,자동 급수 타이머 스프링클러/안개/분무/정원가꾸기/대형,5247,0,0.0,6
4376346205,rejoice444,W91807D,국내산 키친아트 통5중압착 오일로드 후라이팬 28cm,5203,0,0.0,7
4165004342,rejoice999,W9DB212,태광 절연저항계 아날로그 메가테스터기 누전 T -910,5005,0,0.0,5
4305149459,dlwodb000,LCE_SX_L7402574_00,황설탕(백설 15K)/슈가/설탕/분말/가루/대용량/업소,4763,0,0.0,15
2786207978,rejoice666,W7C7F9E,헤어롤 셋팅롤 구르프 셋팅기 앞머리롤 볼륨 집게 A09,4554,0,0.0,5
4393524091,dlwodbs333,LCE_MX_L7073743_01,(멀티캠핑 그리들팬-직화용34cm) 라체나 멀티캠핑 깊,4334,0,0.0,5
4165242861,rejoice999,WDA975F,THE색칠5 만다라색칠하기,4312,0,0.0,4
4438041569,rejoice321,LCE_MX_L2979742_00,새방지 과수보호 그물 5M x 10M 조류방지 새그물/,4191,0,0.0,5
4193136213,rejoice794,LCE_MX_L6484304_00,삼립 브라운브레드 60g X 20개/다이어트빵/냉동/식,4191,0,0.0,5
4706397183,dlwodbs333,LCE_MX_L8078880_00,비타500 180mlx10병 박스 광동제약/마시는/피로,4026,0,0.0,3
4165207643,rejoice999,WBAA8A0,스텐 왕요강 특왕대 혼수용 야외 캠핑 노약자 좌,4015,0,0.0,4
4059366949,rejoice999,W900A32,1초 착 사각폴딩모기장 원터치 침대모기장 휴대용,3960,0,0.0,4
4365510785,rejoice999,W9C3E04,스탠드형 원형 타원 35x185 커버/덮개 에어 컨 커,3905,0,0.0,4
4402771670,rejoice999,WC6D2E4,반려동물 타이머 자동급식기 배식기 사료공급기 1구,3905,0,0.0,4
4164430575,rejoice794,LCE_SX_L6949897_00,오리온)닥터유에너지바(15개입 CASE)/답례품/영양바,3872,0,0.0,3
4438037749,dlrmsgh012,LCE_MX_L9751794,TRD_UL3796 캐주얼 보스턴백/운동/기내용/여행용,3762,0,0.0,4
4361166096,rejoice794,LCE_MX_L0314949,주방 씽크대 식기 수납장 설거지 건조대 싱크대 선반/정,3751,0,0.0,4
4481144139,dlwodbs333,LCE_MX_L4685481,수도꼭지 신형 연장호스75cm 오렌지 화이트 블랙/베란,3685,0,0.0,4
4193151133,rejoice794,LCE_MX_L5490431_00,아디다스 HR5343 리니어 백팩/여성백팩/등산/가방/,3630,0,0.0,4
4438180495,tmxkql222,LCE_SX_L9294680_00,AD 금속핸들 코브라 주방 수도꼭지/씽크대수전/수전/자,3465,0,0.0,4
4343735373,tmxkql111,LCE_MX_L5238697_00,수퍼타이 9.5kg x 2개 베이킹소다함유 세탁세제/대,3421,0,0.0,5
4145060579,dlwodb111,WCCA31B,국산 북카트 북선반 트롤리 독서실 책정리 책꽃이 책장 ,3333,0,0.0,3
4233042448,dlwodbs444,LCE_MX_L3236703,자연나무(원형 2-3cm) G-5/공작재료/공예재료/공,3300,0,0.0,3
4165044756,rejoice999,W841F42,접이식 종이냄비 2인용 36p 번들포장 일회용품,3278,0,0.0,3
4165227711,rejoice999,W9A36BD,LAAON 골전도타입 블루투스 ITB-BTE70 통화 ,3278,0,0.0,3
4174298393,rejoice321,LCE_MX_L7346495,SMJ 스마트폰 고급거치대 TP-7300 셀카촬영삼각대,3267,0,0.0,3
4164299423,rejoice999,W2B2E89,블루라이트 차단 노트북 모니터 보안필름 13.3~15.,3256,0,0.0,3
4632851965,rejoice321,LCE_MX_L0208131,논슬립 미끄럼방지 헤링본 쇼파패드 3인용/방석/매트/깔,3223,0,0.0,6
4164260413,rejoice999,W55EE11,프라모델298 미육군 M1A2 터스크II 탱크 전차,3201,0,0.0,3
4164265445,rejoice999,W0E925A,킹 도어클로저 화재 방화문 K-2630 950x2100,3201,0,0.0,3
4165127758,rejoice999,WBAA704,스텐락 도시락세트 원형 소 - 2단,3201,0,0.0,3
4193264892,rejoice794,LCE_MX_L1901783_00,시그니춰 가염 믹스넛 1.13kg 견과류 간식 캐슈넛/,3157,0,0.0,3
4361216483,rejoice794,LCE_MX_L9463958,모던 철재 벽걸이선반/화분/진열대/욕실/화장실/선반/소,3157,0,0.0,3
3869238224,dlwodbs666,WC1CC29,접이식 리클라이너 의자 호환용 쿠션 좋은 체어 방석 접,3146,0,0.0,3
4445367415,rejoice794,LCE_MX_L0014509_00,유닛키즈 물로쓰는 붓글씨 풀세트 (U901500)/교육,3080,0,0.0,3
4165195408,rejoice999,W9BA82F,다이아몬드원형불판28cm,3069,0,0.0,3
4285455009,tmxkql222,LCE_SX_L7788545_13,(무쇠그리들 44cm (440x50)) 무쇠 그리들 주,3025,0,0.0,6
2786184547,rejoice666,W8E357C,매화 대접 면기 도자기 국그릇 라면 냉면기 5개 ,3003,0,0.0,3
4376343674,rejoice444,W950B03,백제 쌀국수 멸치맛 용기 92g X 30ea,3003,0,0.0,5
4376379971,rejoice444,W294CA3,엠블 순면 카페트겸 패드 Q/S,2992,0,0.0,4
4165186549,rejoice999,WB40543,러블리 토끼 망토담요 극세사 후드담요 무릎담요,2992,0,0.0,3
3939938803,rejoice222,WBCA08A,휘트니스 식염포도당 캡슐형(500정) 탈수방지 보충제,2981,0,0.0,4
4182525358,dlrmsgh012,LCE_MX_L6937891_00,립톤)아이스티 복숭아맛 스틱(20개입)/립톤/아이스티제,2959,0,0.0,4
