상품번호,계정,판매자코드,상품명,광고비,광고전환ROAS%,실매출,실ROAS%,클릭
4174155203,rejoice321,LCE_SX_L1226647,네파 세이프티 L-51 (4인치)/건설/안전화,4191,114339.3,4117578,98248.1,9
4060084505,dlwodbs222,인스탁스 2매,후지필름 인스탁스 미니필름 2팩 20매(40매)/m,478060,643.2,4116400,861.1,223
4622660366,rejoice987,인스탁스 2팩,후지필름 인스탁스 미니필름 4팩10매/ instax,45958,1468.7,1472756,3204.6,46
4622661608,rejoice987,인스탁스 2팩,후지필름 인스탁스 미니필름 2팩 20매(40매)/ ,19052,1574.6,1472756,7730.2,19
4622674063,rejoice987,인스탁스 2팩,후지필름 인스탁스 미니필름 4팩10매/ instax,13101,1717.4,1472756,11241.6,12
4402815682,dlwodb888,WC793D3,파인애플 여름 이불 SS 시어서커 시원한 침구 기숙,2167,71988.9,1356700,62607.3,4
4599821306,dlwodb111,W0385AA,도어클로져(미닫이문 슬라이딩)검정 택옵션 7세대,649,224191.1,1089830,167924.5,2
4376315759,dlwoddbs55,LCE_SX_L6719878_01,(깨끗한나라 순수프리미엄 LONG 33m 30롤) ,6589,3100.3,1089024,16527.9,15
4369806848,dlwodbs222,WA322B4,다용도 주방화 방수화 작업화 미끄럼방지 식당 신발,2200,725.0,1082032,49183.3,4
4466634135,dlwoddbs55,LCE_SX_L9695379_03,(27인치(620x370)) BozaBoza Cli,1045,109610.5,1027190,98295.7,2
4357151588,dlwodb888,W9E57B7,벨르 페레로로쉐 꽃다발 핑크 초콜릿 사탕 선물 부케,15587,3041.0,863323,5538.7,23
4306170689,rejoice666,W13B14A,벽에 걸어서 모빌처럼 쓰는 쉐비로즈 볼 가렌더,16808,2478.0,777926,4628.3,34
4164966358,rejoice999,WB42CD3,화장품 냉장고 캠핑 휴대용 차량용 레트로 미니 4L,2365,13367.4,696471,29449.1,4
4376363458,dlwodb888,WB7EAA8,로케트 차량용 배터리 GB100R,3454,10925.9,651656,18866.7,7
4386155620,dlwodb000,LCE_SX_L1379489,실내 수영장에서 입기 좋은 남자 아동 수영복 (A-,1232,59091.7,627366,50922.6,3
4622670107,rejoice987,인스탁스 1팩,후지필름 인스탁스 미니필름 1팩 20매/ insta,52503,579.0,620112,1181.1,48
4369081639,rejoice666,W9E4F25,(금호화학) 30L 플라스틱 다용도 보관함 공간박스,1760,39477.3,604976,34373.6,3
3591273822,rejoice987,W4703ED,블록 쌓기 파이프 조립 완구 장난감 어린이집 교구 ,539,125519.5,591595,109757.9,1
